EMG Value,Class Label
630,0
638,0
637,0
640,0
647,0
651,0
650,0
652,0
648,0
643,0
640,0
635,0
632,0
626,0
629,0
626,0
628,0
630,0
629,0
635,0
636,0
638,0
637,0
637,0
639,0
645,0
644,0
642,0
636,0
631,0
623,0
617,0
623,0
624,0
622,0
627,0
627,0
634,0
643,0
646,0
645,0
645,0
648,0
644,0
637,0
642,0
641,0
641,0
641,0
636,0
629,0
632,0
622,0
621,0
617,0
622,0
625,0
625,0
629,0
629,0
628,0
631,0
634,0
637,0
636,0
641,0
640,0
641,0
636,0
635,0
632,0
632,0
629,0
622,0
623,0
623,0
625,0
628,0
629,0
632,0
634,0
629,0
635,0
633,0
635,0
639,0
638,0
639,0
643,0
642,0
639,0
639,0
636,0
634,0
631,0
626,0
629,0
628,0
626,0
626,0
633,0
632,0
633,0
635,0
637,0
635,0
640,0
639,0
641,0
642,0
641,0
637,0
633,0
631,0
627,0
628,0
629,0
626,0
625,0
624,0
621,0
616,0
619,0
623,0
626,0
623,0
631,0
628,0
627,0
636,0
637,0
634,0
640,0
636,0
634,0
628,0
633,0
624,0
620,0
622,0
622,0
626,0
624,0
627,0
628,0
625,0
627,0
629,0
633,0
629,0
635,0
638,0
634,0
637,0
639,0
642,0
640,0
637,0
633,0
630,0
628,0
626,0
619,0
624,0
624,0
623,0
628,0
629,0
628,0
633,0
633,0
635,0
633,0
633,0
635,0
636,0
636,0
641,0
643,0
640,0
637,0
636,0
633,0
632,0
630,0
628,0
627,0
627,0
628,0
627,0
628,0
629,0
627,0
635,0
633,0
633,0
633,0
635,0
638,0
638,0
637,0
642,0
642,0
640,0
643,0
640,0
637,0
636,0
632,0
629,0
628,0
628,0
626,0
623,0
628,0
629,0
633,0
632,0
632,0
635,0
633,0
637,0
635,0
638,0
639,0
641,0
641,0
645,0
638,0
637,0
636,0
631,0
632,0
629,0
626,0
629,0
627,0
628,0
631,0
627,0
630,0
631,0
634,0
635,0
639,0
640,0
645,0
644,0
647,0
643,0
640,0
639,0
633,0
630,0
629,0
627,0
624,0
622,0
626,0
629,0
630,0
634,0
631,0
634,0
636,0
633,0
634,0
634,0
638,0
638,0
641,0
640,0
637,0
631,0
630,0
629,0
626,0
627,0
627,0
624,0
629,0
626,0
627,0
630,0
629,0
633,0
632,0
627,0
545,0
442,0
454,0
452,0
458,0
473,0
487,0
494,0
491,0
492,0
489,0
488,0
488,0
493,0
497,0
500,0
502,0
503,0
503,0
506,0
505,0
512,0
512,0
513,0
513,0
514,0
517,0
516,0
513,0
511,0
509,0
509,0
508,0
505,0
505,0
506,0
508,0
508,0
512,0
509,0
511,0
514,0
515,0
515,0
517,0
519,0
519,0
521,0
525,0
525,0
518,0
518,0
515,0
510,0
508,0
507,0
506,0
510,0
512,0
510,0
513,0
515,0
517,0
517,0
517,0
522,0
520,0
520,0
524,0
523,0
525,0
521,0
520,0
519,0
517,0
515,0
513,0
513,0
510,0
512,0
516,0
515,0
515,0
518,0
520,0
522,0
524,0
521,0
523,0
524,0
527,0
527,0
522,0
523,0
520,0
516,0
517,0
515,0
513,0
513,0
516,0
516,0
519,0
516,0
517,0
521,0
518,0
520,0
522,0
522,0
526,0
527,0
528,0
529,0
532,0
531,0
527,0
526,0
524,0
520,0
519,0
518,0
516,0
518,0
517,0
520,0
525,0
530,0
528,0
533,0
528,0
522,0
518,0
515,0
496,0
521,0
605,0
633,0
646,0
615,0
620,0
639,0
642,0
640,0
635,0
637,0
638,0
637,0
641,0
641,0
642,0
643,0
645,0
648,0
649,0
651,0
652,0
653,0
655,0
655,0
657,0
660,0
656,0
654,0
651,0
648,0
652,0
650,0
648,0
650,0
650,0
650,0
651,0
654,0
653,0
657,0
657,0
659,0
660,0
660,0
658,0
663,0
666,0
661,0
653,0
647,0
645,0
639,0
637,0
635,0
635,0
634,0
631,0
638,0
640,0
639,0
641,0
644,0
644,0
645,0
649,0
646,0
651,0
649,0
658,0
654,0
655,0
649,0
647,0
645,0
643,0
642,0
301,2
301,2
300,2
300,2
309,2
318,2
312,2
310,2
308,2
307,2
288,2
274,2
273,2
268,2
264,2
195,2
271,2
318,2
325,2
326,2
325,2
326,2
325,2
322,2
326,2
343,2
342,2
336,2
321,2
334,2
335,2
345,2
348,2
340,2
341,2
338,2
341,2
368,2
345,2
342,2
344,2
339,2
341,2
342,2
344,2
345,2
343,2
344,2
345,2
342,2
344,2
343,2
341,2
343,2
341,2
341,2
338,2
339,2
343,2
340,2
337,2
340,2
343,2
342,2
340,2
340,2
345,2
341,2
345,2
352,2
348,2
348,2
343,2
345,2
336,2
334,2
337,2
333,2
338,2
339,2
344,2
341,2
343,2
348,2
350,2
349,2
349,2
353,2
350,2
352,2
352,2
350,2
351,2
353,2
350,2
350,2
351,2
352,2
350,2
349,2
351,2
351,2
349,2
347,2
346,2
345,2
345,2
341,2
343,2
343,2
341,2
346,2
341,2
342,2
342,2
346,2
343,2
345,2
344,2
342,2
343,2
341,2
338,2
336,2
335,2
335,2
336,2
339,2
338,2
344,2
347,2
351,2
354,2
353,2
354,2
355,2
364,2
358,2
358,2
362,2
379,2
384,2
385,2
379,2
379,2
378,2
377,2
377,2
377,2
375,2
371,2
372,2
372,2
370,2
372,2
368,2
373,2
376,2
379,2
384,2
384,2
395,2
401,2
398,2
379,2
365,2
355,2
344,2
339,2
339,2
339,2
343,2
343,2
336,2
333,2
330,2
326,2
324,2
325,2
325,2
327,2
329,2
331,2
330,2
334,2
337,2
338,2
336,2
336,2
335,2
333,2
336,2
332,2
336,2
332,2
334,2
334,2
336,2
336,2
334,2
335,2
338,2
337,2
337,2
328,2
314,2
308,2
300,2
297,2
293,2
310,2
306,2
337,2
338,2
340,2
339,2
340,2
343,2
342,2
339,2
344,2
341,2
336,2
336,2
336,2
334,2
333,2
333,2
331,2
332,2
